boiler        b
stereo        .
regalleinwand c
bluebar       e
labortisch    z
couchred      a
couchwhite    i
unset1        l
unset2        n
unset3        f
unset4        m
unset5        d
pollind       j
deckehinten   g
deckevorne    h
decke         gh
all           bcezadijlnfmgh
lichter       cezai
ambientlights ceai
blueled       &
panicled      ^
ymhpoweroff   :
ymhpower      .
ymhpoweron    :.
ymhcd         1
ymhtuner      2
ymhtape       3
ymhwdtv       4
ymhsattv      5
ymhvcr        6
ymh7          7
ymhaux        8
ymhextdec     9
ymhtest       0
ymhtunabcde   /
ymheffect     \
ymhtunplus    +
ymhtunminus   -
ymhvolup      ;;;;;;;;;
ymhvoldown    ,,,,,,,,,
ymhvolmute    _
ymhmenu       #
ymhplus       "
ymhminus      !
ymhtimelevel  =
ymhprgdown    $
ymhprgup      %
ymhsleep      (
ymhp5         )
moviemode :.ei
